clean_org,Year,Organisation,Org_type,Local_type,PC.USD.m,TV.USD.m,Cash.USD,Vouchers.USD,Source.PC,Source.TV,Comment,Reasons.for.year-on-year.change,source,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.name,PC.USD.m_subgrant,PC.USD.m_undoubled
christian aid,2022,Christian Aid,NGO,International,7.92982,3.96491,3.94491,0.02,Survey,Survey,,,Survey,,,0.63658271,7.29323729
christian aid,2023,Christian Aid,NGO,International,10.5963203772595,8.83026651287259,8.34481237081111,0.485454403080522,Survey,Survey,,,Survey,,,0,10.5963203772595
christian aid,2024,Christian Aid,NGO,,3.203716,2.5629728,,,,,,,FTS,International NGOs,ACT Alliance / Christian Aid,0,3.203716
christian blind mission,2024,Christian Blind Mission,NGO,,0.017688,0.0141504,,,,,,,FTS,International NGOs,Christian Blind Mission,0,0.017688
christian mission for development,2019,Christian Mission for Development,NGO,,2.2703524,1.74421429188305,,,,,,,FTS,National NGOs/CSOs,Christian Mission for Development,0,2.2703524
christian mission for development,2020,Christian Mission for Development,NGO,,1.522017,1.18789504172604,,,,,,,FTS,National NGOs/CSOs,Christian Mission for Development,0,1.522017
coalition for humanity south sudan,2024,Coalition for Humanity South Sudan,NGO,,0.67540832,0.540326656,,,,,,,FTS,National NGOs/CSOs,Coalition for Humanity South Sudan,0,0.67540832
coalition of relief and building,2024,Coalition of Relief and Building,NGO,,0.318,0.2544,,,,,,,FTS,National NGOs/CSOs,Coalition of Relief and Building,0,0.318
coast trust,2019,COAST Trust,NGO,,0.0054211,0.00416479842412447,,,,,,,FTS,National NGOs/CSOs,COAST Trust,0,0.0054211
comitato internationale per lo sviluppo dei popoli,2019,Comitato Internationale per lo Sviluppo dei Popoli,NGO,,0.05910156,0.0454051915573035,,,,,,,FTS,International NGOs,Comitato Internationale per lo Sviluppo dei Popoli,0,0.05910156
comitato internationale per lo sviluppo dei popoli,2024,Comitato Internationale per lo Sviluppo dei Popoli,NGO,,0.240037,0.1920296,,,,,,,FTS,International NGOs,Comitato Internationale per lo Sviluppo dei Popoli,0,0.240037
community action for healing poverty organization,2022,Community Action for Healing Poverty Organization,NGO,,1.127548,0.89136431887105,,,,,,,FTS,National NGOs/CSOs,Community Action for Healing Poverty Organization,0,1.127548
community action organization,2020,Community Action Organization,NGO,,0.459978,0.359000974038437,,,,,,,FTS,Local NGOs/CSOs,Community Action Organization,0,0.459978
community action organization,2024,Community Action Organization,NGO,,0.0075,0.006,,,,,,,FTS,Local NGOs/CSOs,Community Action Organization,0,0.0075
community aid for fisheries and agriculture development,2019,Community Aid for Fisheries and Agriculture Development,NGO,,0.0284031,0.0218208824999077,,,,,,,FTS,National NGOs/CSOs,Community Aid for Fisheries and Agriculture Development,0,0.0284031
community care for emergency response and rehabilitation,2019,Community Care for Emergency Response and Rehabilitation,NGO,,0.018887,0.0145100713575545,,,,,,,FTS,Local/National Private Organizations,Community Care for Emergency Response and Rehabilitation,0,0.018887
community development association,2024,Community Development Association,NGO,,0.14581,0.116648,,,,,,,FTS,National NGOs/CSOs,Community Development Association,0,0.14581
community health and development organization,2019,Community Health and Development Organization,NGO,,0.0359988,0.0276563327572581,,,,,,,FTS,Local NGOs/CSOs,Community Health and Development Organization,0,0.0359988
community in need aid,2024,Community in Need Aid,NGO,,0.23209,0.185672,,,,,,,FTS,National NGOs/CSOs,Community in Need Aid,0,0.23209
community initiative for development organization,2019,Community Initiative for Development Organization,NGO,,0.0765608,0.0588183761948145,,,,,,,FTS,Local NGOs/CSOs,Community Initiative for Development Organization,0,0.0765608
community initiative for development organization,2020,Community Initiative for Development Organization,NGO,,0.25509,0.199091170593952,,,,,,,FTS,Local NGOs/CSOs,Community Initiative for Development Organization,0,0.25509
community initiative for sustainable development agency,2019,Community Initiative for Sustainable Development Agency,NGO,,0.022865,0.0175661979981196,,,,,,,FTS,National NGOs/CSOs,Community Initiative for Sustainable Development Agency,0,0.022865
community organization for emergency and rehabilitation,2019,Community Organization for Emergency and Rehabilitation,NGO,,0.012,0.00921908488858232,,,,,,,FTS,Local NGOs/CSOs,Community Organization for Emergency and Rehabilitation,0,0.012
community partners international,2024,Community Partners International,NGO,,0.038576,0.0308608,,,,,,,FTS,International NGOs,Community Partners International,0,0.038576
comunità impegno servizio volontariato,2024,Comunità Impegno Servizio Volontariato,NGO,,0.629808,0.5038464,,,,,,,FTS,International NGOs,Comunità Impegno Servizio Volontariato,0,0.629808
concern worldwide,2016,Concern Worldwide,NGO,International,13.2828,9.68823683609378,,,Survey,Estimate,"Unknown whether value is PC or TV, so assumed it's PC to avoid overestimation.",,Survey,,,0,13.2828
concern worldwide,2017,Concern Worldwide,NGO,International,44.3625007742849,33.82949932341,27.063599458728,6.765899864682,Estimate,Survey,,,Survey,,,0,44.3625007742849
concern worldwide,2018,Concern Worldwide,NGO,International,40.0398225887627,30.5331558756753,27.010099428482,3.5230564471933,Estimate,Survey,,,Survey,,,0,40.0398225887627
concern worldwide,2019,Concern Worldwide,NGO,International,27.9236887667322,21.4525714285714,14.8022742857143,6.65029714285714,Estimate,Survey,,,Survey,,,1.4837436917844,26.4399450749478
concern worldwide,2020,Concern Worldwide,NGO,International,54.638385997072,42.6438520817016,30.3804207386878,12.2634313430138,Estimate,Survey,,,Survey,,,0.04970023,54.588685767072
concern worldwide,2021,Concern Worldwide,NGO,International,30.0154501590297,23.6548100873572,14.1928860524143,9.46192403494289,Estimate,Survey,Data sourced from annual programmatic reporting on CVA and excludes sub-grants,,Survey,,,0,30.0154501590297
concern worldwide,2022,Concern Worldwide,NGO,International,47.9137005804403,45.053181142802,41.3675118673835,3.68566927541848,Survey,Survey,"Also included Somali cash consortium here, as taken out in sub-grants","This is due to a range of factors, including: improvements in internal systems for CVA data capture and reporting; large increases in CVA volume in specific countries for emergency response scale up, notably MPCA (e.g. Afghanistan, Kenya, Niger, Pakistan, Somalia, and new programming in Ukraine); continuing shift to more CVA in development programming. ",Survey,,,6.83540444889306,41.0782961315472
concern worldwide,2023,Concern Worldwide,NGO,,18.91406468,15.131251744,,,,,,,FTS,International NGOs,Concern Worldwide,0,18.91406468
concern worldwide,2024,Concern Worldwide,NGO,,48.26424838,38.611398704,,,,,,,FTS,International NGOs,Concern Worldwide,0,48.26424838
consortium of dutch ngos,2023,Consortium of Dutch NGOs,NGO,,0.690051,0.5520408,,,,,,,FTS,National NGOs/CSOs,Consortium of Dutch NGOs,0,0.690051
consortium of dutch ngos,2024,Consortium of Dutch NGOs,NGO,,0.442202,0.3537616,,,,,,,FTS,National NGOs/CSOs,Consortium of Dutch NGOs,0,0.442202
consultoría para los derechos humanos y el desplazamiento,2024,Consultoría para los Derechos Humanos y el Desplazamiento,NGO,,0.018,0.0144,,,,,,,FTS,National NGOs/CSOs,Consultoría para los Derechos Humanos y el Desplazamiento,0,0.018
cooperative housing foundation international,2022,Cooperative Housing Foundation International,NGO,,0.699411,0.552907733973116,,,,,,,FTS,International NGOs,Cooperative Housing Foundation International,0,0.699411
cooperazione internazionale coopi,2017,Cooperazione Internazionale - COOPI,NGO,,3.075739,2.34546539539988,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,3.075739
cooperazione internazionale coopi,2018,Cooperazione Internazionale - COOPI,NGO,,1.164687,0.888155027124246,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,1.164687
cooperazione internazionale coopi,2019,Cooperazione Internazionale - COOPI,NGO,,1.42194468,1.09241905931567,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,1.42194468
cooperazione internazionale coopi,2020,Cooperazione Internazionale - COOPI,NGO,,3.211102,2.50618235162719,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,3.211102
cooperazione internazionale coopi,2021,Cooperazione Internazionale - COOPI,NGO,,1.7592288,1.38642675501205,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,1.7592288
cooperazione internazionale coopi,2022,Cooperazione Internazionale - COOPI,NGO,,0.07033912,0.0556054214887428,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,0.07033912
cooperazione internazionale coopi,2023,Cooperazione Internazionale - COOPI,NGO,,0.710347,0.5682776,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,0.710347
cooperazione internazionale coopi,2024,Cooperazione Internazionale - COOPI,NGO,,0.449171,0.3593368,,,,,,,FTS,International NGOs,Cooperazione Internazionale - COOPI,0,0.449171
cordaid international,2018,Cordaid International,NGO,,0.369429,0.281715365171487,,,,,,,FTS,International NGOs,Cordaid International,0,0.369429
cordaid international,2020,Cordaid International,NGO,,1.349034,1.05288626849755,,,,,,,FTS,International NGOs,Cordaid International,0,1.349034
cordaid international,2021,Cordaid International,NGO,,1.513214,1.19254549246738,,,,,,,FTS,International NGOs,Cordaid International,0,1.513214
cordaid international,2024,Cordaid International,NGO,,0.59136,0.473088,,,,,,,FTS,International NGOs,Cordaid International,0,0.59136
corporación infancia y desarrollo,2024,Corporación Infancia y Desarrollo,NGO,,0.008898,0.0071184,,,,,,,FTS,National NGOs/CSOs,Corporación Infancia y Desarrollo,0,0.008898
cws japan,2018,CWS Japan,NGO,,0.102168,0.0779102220693028,,,,,,,FTS,International NGOs,CWS Japan,0,0.102168
cws japan,2020,CWS Japan,NGO,,0.186565,0.145609174181115,,,,,,,FTS,International NGOs,CWS Japan,0,0.186565
danchurchaid danish de mining group,2020,Danchurchaid / Danish De-mining Group,NGO,,0.205787,0.160611449774658,,,,,,,FTS,International NGOs,Danchurchaid / Danish De-mining Group,0,0.205787
danchurchaid danish de mining group,2021,Danchurchaid / Danish De-mining Group,NGO,,0.188514,0.148565583563855,,,,,,,FTS,International NGOs,Danchurchaid / Danish De-mining Group,0,0.188514
danish assistance to afghan rehabilitation and technical,2024,Danish Assistance to Afghan Rehabilitation and Technical,NGO,,0.475116,0.3800928,,,,,,,FTS,International NGOs,Danish Assistance to Afghan Rehabilitation and Technical,0,0.475116
danish refugee council,2017,Danish Refugee Council,NGO,,13.827266,10.5442542153249,,,,,,,FTS,International NGOs,Danish Refugee Council,0,13.827266
danish refugee council,2018,Danish Refugee Council,NGO,International,44.9593446510014,34.2846343850309,32.6807652861505,1.60386909888045,Estimate,Survey,,,Survey,,,0,44.9593446510014
danish refugee council,2019,Danish Refugee Council,NGO,International,32.5448219062719,25.0027896531429,23.0420299877143,1.96075877157143,Estimate,Survey,,,Survey,,,0,32.5448219062719
danish refugee council,2020,Danish Refugee Council,NGO,International,40.142685401957,28.4743444076422,28.2771844146982,0.197159992944082,Survey,Survey,,,Survey,,,0,40.142685401957
danish refugee council,2021,Danish Refugee Council,NGO,International,50.631257944,42.15880548,39.0641839,3.09462158,Survey,Survey,Missing information from most of the Great Lake/East Africa country offices.,,Survey,,,0,50.631257944
danish refugee council,2022,Danish Refugee Council,NGO,International,32.431217,26.15420742,22.89825652,3.2559579,Survey,Survey,Missing information from some country offices - volumes in the end likely similar to 2021,,Survey,,,0.344912507486856,32.0863044925131
danish refugee council,2023,Danish Refugee Council,NGO,International,59.989416,49.99118,48.568336,1.422844,Estimate,Survey,,,Survey,,,0.01086667,59.97854933
danish refugee council,2024,Danish Refugee Council,NGO,,46.32815275,37.0625222,,,,,,,FTS,International NGOs,Danish Refugee Council,0,46.32815275
dca,2015,DCA,NGO,International,10.0805405642617,7.3525660570375,,,Estimate,Survey,,,Survey,,,0,10.0805405642617
dca,2016,DCA,NGO,International,9.1821,7.23,,,Estimate,Survey,,,Survey,,,0,9.1821
dca,2017,DCA,NGO,International,14.5856428439084,11.1225694247949,,,Estimate,Survey,,,Survey,,,0,14.5856428439084
dca,2018,DCA,NGO,,4.2252,3.2220095361289,,,,,,,FTS,International NGOs,ACT Alliance / DanChurchAid,0,4.2252
dca,2019,DCA,NGO,,5.05857827,3.88628854055566,,,,,,,FTS,International NGOs,ACT Alliance / DanChurchAid,0,5.05857827
dca,2020,DCA,NGO,,5.89211346,4.5986426987486,,,,,,,FTS,International NGOs,ACT Alliance / DanChurchAid,2.12730851,3.76480495
dca,2020,DCA,NGO,,0.747608,0.583488775982607,,,,,,,FTS,Internationally Affiliated Organizations,ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,2.12730851,0
dca,2021,DCA,NGO,International,18.6101315500453,15.5131097246065,10.1330225621839,5.38008716242256,Survey,Survey,Excluded sub-grants received from WFP from their figures. PC are an internal estimate that around 80% of DCA's CVA projects are transfers to recipients,,Survey,,,0,18.6101315500453
dca,2022,DCA,NGO,International,32.431217,26.15420742,22.89825652,3.2559579,Survey,Survey,,,Survey,,,0.31202246,32.11919454
dca,2023,DCA,NGO,,6.08340395,4.86672316,,,,,,,FTS,International NGOs,ACT Alliance / DanChurchAid,0,6.08340395
dca,2023,DCA,NGO,,0.9582664,0.76661312,,,,,,,FTS,Internationally Affiliated Organizations,ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,0,0.9582664
dca,2024,DCA,NGO,,3.745041,2.9960328,,,,,,,FTS,International NGOs,ACT Alliance / DanChurchAid,0,3.745041
deem for development organization,2024,DEEM FOR DEVELOPMENT ORGANIZATION,NGO,,0.25409,0.203272,,,,,,,FTS,National NGOs/CSOs,DEEM FOR DEVELOPMENT ORGANIZATION,0,0.25409
deutsche gesellschaft für internationale zusammenarbeit,2020,Deutsche Gesellschaft für Internationale Zusammenarbeit,Other,,0.305365,0.238329512361998,,,,,,,FTS,International Government Entities,Deutsche Gesellschaft für Internationale Zusammenarbeit,0,0.305365
deutsche welthungerhilfe,2015,Deutsche Welthungerhilfe,NGO,International,147.519995271142,107.598447032723,,,Estimate,Survey,,,Survey,,,0,147.519995271142
deutsche welthungerhilfe,2016,Deutsche Welthungerhilfe,NGO,International,46.390179,36.5277,,,Estimate,Survey,,,Survey,,,0,46.390179
deutsche welthungerhilfe,2017,Deutsche Welthungerhilfe,NGO,,4.251701,3.24221839599754,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,4.251701
deutsche welthungerhilfe,2018,Deutsche Welthungerhilfe,NGO,,3.970401,3.02770753674518,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,3.970401
deutsche welthungerhilfe,2019,Deutsche Welthungerhilfe,NGO,,10.79956464,8.29684193132433,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,10.79956464
deutsche welthungerhilfe,2020,Deutsche Welthungerhilfe,NGO,,1.93955942,1.51377613926193,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,1.93955942
deutsche welthungerhilfe,2021,Deutsche Welthungerhilfe,NGO,,1.40852114,1.11003832673503,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,1.40852114
deutsche welthungerhilfe,2022,Deutsche Welthungerhilfe,NGO,,20.79791956,16.441449412827,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,20.79791956
deutsche welthungerhilfe,2023,Deutsche Welthungerhilfe,NGO,,53.6372137,42.90977096,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,53.6372137
deutsche welthungerhilfe,2024,Deutsche Welthungerhilfe,NGO,,18.52496196,14.819969568,,,,,,,FTS,International NGOs,Deutsche Welthungerhilfe e.V. (German Agro Action),0,18.52496196
development and empowerment for humanity formerly deh relief and development organization,2019,Development and Empowerment for Humanity formerly (DEH Relief and Development Organization),NGO,,0.1996192,0.153358862515908,,,,,,,FTS,National NGOs/CSOs,Development and Empowerment for Humanity formerly (DEH Relief and Development Organization),0,0.1996192
development and peace,2017,Development and Peace,NGO,,1.835536,1.39972415410109,,,,,,,FTS,Internationally Affiliated Organizations,Development and Peace,0,1.835536
development for peace organization,2024,Development for Peace Organization,NGO,,1.136505,0.909204,,,,,,,FTS,National NGOs/CSOs,Development for Peace Organization,0,1.136505
dialogue and research institute,2024,Dialogue and Research Institute,NGO,,0.04175,0.0334,,,,,,,FTS,Local/National Private Organizations,Dialogue and Research Institute,0,0.04175
dignity first somalia,2024,Dignity First Somalia,NGO,,0.572,0.4576,,,,,,,FTS,Local NGOs/CSOs,Dignity First Somalia,0,0.572
direct aid,2020,Direct Aid,NGO,,13.966516,10.9005057805447,,,,,,,FTS,International NGOs,Direct Aid,0,13.966516
disasters emergency committee,2022,Disasters Emergency Committee,NGO,,2.85,2.25302010094691,,,,,,,FTS,International NGOs,Disasters Emergency Committee,0,2.85
disasters emergency committee,2023,Disasters Emergency Committee,NGO,,2.85,2.28,,,,,,,FTS,International NGOs,Disasters Emergency Committee,0,2.85
dorcas aid international,2017,Dorcas Aid International,NGO,,0.696351,0.531016179705789,,,,,,,FTS,International NGOs,Dorcas Aid International,0,0.696351
dorcas aid international,2019,Dorcas Aid International,NGO,,0.7485831,0.575104262088176,,,,,,,FTS,International NGOs,Dorcas Aid International,0,0.7485831
dorcas aid international,2020,Dorcas Aid International,NGO,,0.279732,0.218323616498441,,,,,,,FTS,International NGOs,Dorcas Aid International,0,0.279732
dorcas aid international,2021,Dorcas Aid International,NGO,,0.0265158,0.0208967784921145,,,,,,,FTS,International NGOs,Dorcas Aid International,0,0.0265158
dorcas aid international,2023,Dorcas Aid International,NGO,,3.427901,2.7423208,,,,,,,FTS,International NGOs,Dorcas Aid International,0,3.427901
dorcas aid international,2024,Dorcas Aid International,NGO,,0.106858,0.0854864,,,,,,,FTS,International NGOs,Dorcas Aid International,0,0.106858
dorcas aid international trancarpathia,2022,Dorcas Aid International Trancarpathia,NGO,,0.460488,0.364031129910471,,,,,,,FTS,Internationally Affiliated Organizations,Dorcas Aid International Trancarpathia,0,0.460488
dorcas aid international trancarpathia,2024,Dorcas Aid International Trancarpathia,NGO,,3.48348,2.786784,,,,,,,FTS,Internationally Affiliated Organizations,Dorcas Aid International Trancarpathia,0,3.48348
dutch committee for afghanistan,2023,Dutch Committee for Afghanistan,NGO,,0.499801,0.3998408,,,,,,,FTS,National NGOs/CSOs,Dutch Committee for Afghanistan,0,0.499801
développement endogène durable et innovation,2023,Développement Endogène Durable et Innovation,NGO,,0.063,0.0504,,,,,,,FTS,International NGOs,Développement Endogène Durable et Innovation,0,0.063
echo,2016,ECHO,Other,International,,1395.048208,,,,,,,Survey,,,0,
educo fundación educación y cooperación childfund alliance member,2024,"Educo - Fundación Educación y Cooperación, ChildFund Alliance member",NGO,,0.10623905,0.08499124,,,,,,,FTS,International NGOs,"Educo - Fundación Educación y Cooperación, ChildFund Alliance member",0,0.10623905
emergency action alliance,2022,Emergency Action Alliance,NGO,,1.512859,1.19596552171875,,,,,,,FTS,International NGOs,Emergency Action Alliance,0,1.512859
emergency development network,2024,Emergency Development Network,NGO,,0.0075,0.006,,,,,,,FTS,National NGOs/CSOs,Emergency Development Network,0,0.0075
emmanuel development association,2024,Emmanuel Development Association,NGO,,0.095,0.076,,,,,,,FTS,National NGOs/CSOs,Emmanuel Development Association,0,0.095
enfants du monde,2023,Enfants du Monde,NGO,,0.007,0.0056,,,,,,,FTS,International NGOs,Enfants du Monde,0,0.007
entrepreneurs organization for relief and development,2018,Entrepreneurs Organization for Relief and Development,NGO,,0.29521,0.225118203910019,,,,,,,FTS,National NGOs/CSOs,Entrepreneurs Organization for Relief and Development,0,0.29521
eper swiss church aid,2018,EPER - Swiss Church Aid,Other,,0.202223,0.154209134342657,,,,,,,FTS,International Private Organizations,EPER - Swiss Church Aid,0,0.202223
eper swiss church aid,2020,EPER - Swiss Church Aid,Other,,1.122376,0.875985541128846,,,,,,,FTS,International Private Organizations,EPER - Swiss Church Aid,0,1.122376
eper swiss church aid,2024,EPER - Swiss Church Aid,Other,,5.137259,4.1098072,,,,,,,FTS,International Private Organizations,EPER - Swiss Church Aid,0,5.137259
estonian refugee council,2022,Estonian Refugee Council,NGO,,2.065459,1.63281426129183,,,,,,,FTS,International NGOs,Estonian Refugee Council,0,2.065459
estonian refugee council,2023,Estonian Refugee Council,NGO,,0.899696,0.7197568,,,,,,,FTS,International NGOs,Estonian Refugee Council,0,0.899696
estonian refugee council,2024,Estonian Refugee Council,NGO,,0.924,0.7392,,,,,,,FTS,International NGOs,Estonian Refugee Council,0,0.924
ethiopia government of,2017,"Ethiopia, Government of",Other,,50,38.128485469669,,,,,,,FTS,National Governments,"Ethiopia, Government of",0,50
family counseling development foundation,2024,Family Counseling & Development Foundation,NGO,,0.034958,0.0279664,,,,,,,FTS,National NGOs/CSOs,Family Counseling & Development Foundation,0,0.034958
family health international fhi 360,2022,Family Health International - FHI 360,NGO,,0.008355,0.00660490629593385,,,,,,,FTS,International NGOs,Family Health International - FHI 360,0,0.008355
family health international fhi 360,2023,Family Health International - FHI 360,NGO,,0.035133,0.0281064,,,,,,,FTS,International NGOs,Family Health International - FHI 360,0,0.035133
family health international fhi 360,2024,Family Health International - FHI 360,NGO,,0.056246,0.0449968,,,,,,,FTS,International NGOs,Family Health International - FHI 360,0,0.056246
fao,2017,FAO,UN,International,70.2263741272923,53.55250571,43.22087334,10.33163237,Estimate,Survey,,,Survey,,,0,70.2263741272923
fao,2018,FAO,UN,International,54.3482680857563,41.4443430001887,34.5237278635849,6.92061513660377,Estimate,Survey,,,Survey,,,0,54.3482680857563
fao,2019,FAO,UN,International,51.6081756215571,39.648346,35.157251,4.491095,Estimate,Survey,,,Survey,,,0,51.6081756215571
fao,2020,FAO,UN,International,93.180994930639,72.725365,59.727226,12.998139,Estimate,Survey,,,Survey,,,0,93.180994930639
fao,2021,FAO,UN,International,89.4801974901152,70.518252,57.436702,13.08155,Estimate,Survey,,,Survey,,,0,89.4801974901152
fao,2022,FAO,UN,,239.55254863,189.374283261913,,,,,,,FTS,UN Agencies,Food and Agriculture Organization of the United Nations,0,239.55254863
fao,2023,FAO,UN,International,188.3173872,156.931156,143.660479,13.270677,Estimate,Survey,,,Survey,,,0,188.3173872
fao,2024,FAO,UN,,35.2002802,28.16022416,,,,,,,FTS,UN Agencies,Food and Agriculture Organization of the United Nations,0,35.2002802
fayyaa integrated development organization,2024,Fayyaa Integrated Development Organization,NGO,,0.335863,0.2686904,,,,,,,FTS,National NGOs/CSOs,Fayyaa Integrated Development Organization,0,0.335863
femme congolaise pour le developpement,2024,FEMME CONGOLAISE POUR LE DEVELOPPEMENT,NGO,,0.0496666666666667,0.0397333333333334,,,,,,,FTS,National NGOs/CSOs,FEMME CONGOLAISE POUR LE DEVELOPPEMENT,0,0.0496666666666667
femmes et développement,2022,Femmes et Développement,NGO,,0.751761,0.594292155827352,,,,,,,FTS,National NGOs/CSOs,Femmes et Développement,0,0.751761
field medical foundation,2024,Field Medical Foundation,NGO,,0.16361,0.130888,,,,,,,FTS,National NGOs/CSOs,Field Medical Foundation,0,0.16361
finnish refugee council,2023,Finnish Refugee Council,NGO,,0.41538,0.332304,,,,,,,FTS,International NGOs,Finnish Refugee Council,0,0.41538
fondation caritas luxembourg,2018,Fondation Caritas Luxembourg,NGO,,0.167224,0.127519957083598,,,,,,,FTS,Internationally Affiliated Organizations,Fondation Caritas Luxembourg,0,0.167224
fondation caritas luxembourg,2023,Fondation Caritas Luxembourg,NGO,,2.141328,1.7130624,,,,,,,FTS,Internationally Affiliated Organizations,Fondation Caritas Luxembourg,0,2.141328
fondation suisse de déminage,2023,Fondation suisse de déminage,NGO,,0.057786,0.0462288,,,,,,,FTS,International NGOs,Fondation suisse de déminage,0,0.057786
fonds d intervention pour le développement,2021,Fonds d’Intervention pour le Développement,NGO,,13.605,10.7219345215011,,,,,,,FTS,National NGOs/CSOs,Fonds d’Intervention pour le Développement,0,13.605
food for the hungry,2016,Food for the Hungry,NGO,International,2.48,1.80886765994463,,,Survey,Estimate,"Unknown whether value is PC or TV, so assumed it's PC to avoid overestimation.",,Survey,,,0,2.48
food for the hungry,2019,Food for the Hungry,NGO,,4.319348,3.31836965627736,,,,,,,FTS,International NGOs,Food for the Hungry,0,4.319348
food for the hungry,2021,Food for the Hungry,NGO,,1,0.788087800183835,,,,,,,FTS,International NGOs,Food for the Hungry,0,1
food for the hungry,2024,Food for the Hungry,NGO,,0.171648,0.1373184,,,,,,,FTS,International NGOs,Food for the Hungry,0,0.171648
for afrika to thrive,2020,For Afrika to Thrive,NGO,,0.0075535,0.00589531207448907,,,,,,,FTS,International NGOs,For Afrika to Thrive,0,0.0075535
for afrika to thrive,2024,For Afrika to Thrive,NGO,,1.16237,0.929896,,,,,,,FTS,International NGOs,For Afrika to Thrive,0,1.16237
forum des mamans de l ituri,2024,Forum des Mamans de l’Ituri,NGO,,0.035,0.028,,,,,,,FTS,National NGOs/CSOs,Forum des Mamans de l’Ituri,0,0.035
foundation for rural development,2018,Foundation for Rural Development,NGO,,0.299954,0.228735834611382,,,,,,,FTS,National NGOs/CSOs,Foundation for Rural Development,0,0.299954
frieda die feministische friedensorganisation,2024,Frieda die feministische Friedensorganisation,NGO,,0.643134,0.5145072,,,,,,,FTS,International NGOs,Frieda die feministische Friedensorganisation,0,0.643134
future generations afghanistan,2023,Future Generations Afghanistan,NGO,,0.484137,0.3873096,,,,,,,FTS,National NGOs/CSOs,Future Generations Afghanistan,0,0.484137
future generations afghanistan,2024,Future Generations Afghanistan,NGO,,0.497815,0.398252,,,,,,,FTS,National NGOs/CSOs,Future Generations Afghanistan,0,0.497815
gaza reconstruction committee,2020,Gaza Reconstruction Committee,Other,,133.914161,104.516551305802,,,,,,,FTS,National Governments,Gaza Reconstruction Committee,0,133.914161
gaza reconstruction committee,2021,Gaza Reconstruction Committee,Other,,134.511222,106.006653046019,,,,,,,FTS,National Governments,Gaza Reconstruction Committee,0,134.511222
gaza reconstruction committee,2022,Gaza Reconstruction Committee,Other,,144.411916,114.162438443599,,,,,,,FTS,National Governments,Gaza Reconstruction Committee,0,144.411916
generations without qat,2018,Generations without Qat,NGO,,1.525066,1.16296913642572,,,,,,,FTS,Local NGOs/CSOs,Generations without Qat,0,1.525066
generations without qat,2024,Generations without Qat,NGO,,0.045,0.036,,,,,,,FTS,Local NGOs/CSOs,Generations without Qat,0,0.045
geneva call,2023,Geneva Call,NGO,,0.280479,0.2243832,,,,,,,FTS,International NGOs,Geneva Call,0,0.280479
ghadaq for development,2024,Ghadaq for development,NGO,,0.14583,0.116664,,,,,,,FTS,National NGOs/CSOs,Ghadaq for development,0,0.14583
ghiras alnahda organization,2019,Ghiras Alnahda Organization,NGO,,0.0300984,0.0231233087175422,,,,,,,FTS,National NGOs/CSOs,Ghiras Alnahda Organization,0,0.0300984
ghiras alnahda organization,2020,Ghiras Alnahda Organization,NGO,,0.00058272,0.000454797941622595,,,,,,,FTS,National NGOs/CSOs,Ghiras Alnahda Organization,0,0.00058272
ghiras alnahda organization,2021,Ghiras Alnahda Organization,NGO,,1.16768664,0.920239595421654,,,,,,,FTS,National NGOs/CSOs,Ghiras Alnahda Organization,0,1.16768664
ghiras alnahda organization,2023,Ghiras Alnahda Organization,NGO,,0.456,0.3648,,,,,,,FTS,National NGOs/CSOs,Ghiras Alnahda Organization,0,0.456
ghiras alnahda organization,2024,Ghiras Alnahda Organization,NGO,,2.40852408,1.926819264,,,,,,,FTS,National NGOs/CSOs,Ghiras Alnahda Organization,0,2.40852408
givedirectly,2015,GiveDirectly,NGO,International,15.6,13.7,,,Survey,Survey,,,Survey,,,0,15.6
givedirectly,2016,GiveDirectly,NGO,International,34.9,25.4554360209951,,,Survey,Estimate,,,Survey,,,0,34.9
givedirectly,2020,GiveDirectly,NGO,International,175.6,168.9,,,Survey,Survey,,,Survey,,,0,175.6
givedirectly,2022,GiveDirectly,NGO,International,188.920049,146.757414,146.757414,,Survey,Survey,,,Survey,,,0,188.920049
givedirectly,2023,GiveDirectly,NGO,International,,,,,,,,,Survey,,,0,
